code	name	industry	area	pe	outstanding	totals	totalAssets	liquidAssets	fixedAssets	reserved	reservedPerShare	esp	bvps	pb	timeToMarket	undp	perundp	rev	profit	gpr	npr	holders
600019	宝钢股份	普钢	上海	14.71	220.9	222.68	34661280.0	13254327.0	15759142.0	4821146.0	2.17	0.53	7.11	1.45	20001212	5894787.5	2.65	43.12	95.52	10.89	4.63	462744.0
600282	南钢股份	普钢	江苏	8.79	38.76	44.09	3800432.0	1415680.63	2104298.25	175370.88	0.4	0.46399999999999997	2.36	2.3	20000919	348252.13	0.79	53.13	799.15	14.61	7.56	141912.0
600048	保利地产	全国地产	广东	18.91	117.36	118.58	63262392.0	58543904.0	341367.5	1500900.25	1.27	0.6970000000000001	7.94	2.21	20060731	6425729.5	5.42	-13.31	16.31	32.21	10.95	188114.0
600340	华夏幸福	区域地产	河北	16.35	29.55	29.55	33648380.0	31025324.0	279688.56	465047.19	1.57	2.02	9.12	5.04	20031230	1819656.38	6.16	21.21	35.3	56.43	20.16	128168.0
601088	中国神华	煤炭开采	北京	11.23	164.91	198.9	56003400.0	12097900.0	30580700.0	7472900.0	3.76	1.7919999999999998	14.69	1.83	20071009	17336300.0	8.72	46.26	105.98	41.69	19.53	204189.0
600808	马钢股份	普钢	安徽	9.32	59.68	77.01	6769849.0	2751136.0	3338734.0	834860.63	1.08	0.35600000000000004	2.92	1.51	19940106	254929.52	0.33	60.24	260.78	11.94	5.18	246569.0
600585	海螺水泥	水泥	安徽	14.16	40.0	52.99	11652647.0	4026500.75	6060501.5	1057638.25	2.0	1.851	15.74	2.22	20020207	6454382.5	12.18	31.86	64.34	32.44	19.6	67490.0
600036	招商银行	银行	深圳	11.08	206.29	252.2	616923904.0	0.0	4799700.0	6752300.0	2.68	2.332	17.37	1.98	20020409	23905100.0	9.48	3.38	12.78	0.0	35.49	218770.0
600518	康美药业	中成药	广东	24.98	44.03	49.74	6533670.5	5427972.5	584594.5	1136969.0	2.29	0.64	5.68	3.72	20010319	1038471.13	2.09	18.59	21.58	30.42	16.15	110288.0
000830	鲁西化工	农药化肥	山东	23.45	14.64	14.65	2634997.5	336950.72	1480997.88	218405.41	1.49	0.66	4.76	4.81	19980807	295829.88	2.02	43.64	497.16	22.78	9.69	82652.0
601939	建设银行	银行	北京	8.97	95.94	2500.11	2205394176.0	0.0	16574301.0	13454301.0	0.54	0.805	6.76	1.42	20070925	88428600.0	3.54	-0.12	3.82	0.0	42.64	358034.0
601166	兴业银行	银行	福建	6.24	190.52	207.74	640699328.0	0.0	1811200.0	7501100.0	3.61	2.26	18.41	1.03	20070205	20643600.0	9.94	-13.16	7.2	0.0	45.76	228251.0
600522	中天科技	通信设备	江苏	19.37	22.76	30.66	2603191.75	1866161.75	487533.25	762219.94	2.49	0.48	5.63	2.15	20021024	543710.38	1.77	32.81	25.66	16.65	7.43	131849.0
000898	鞍钢股份	普钢	辽宁	11.86	61.49	72.35	8823500.0	2724900.0	4747000.0	3151900.0	4.36	0.45399999999999996	6.59	1.09	19971225	528400.0	0.73	47.44	236.23	12.25	5.43	109351.0
002110	三钢闽光	普钢	福建	9.68	9.91	13.74	1548558.13	812630.44	639460.06	458222.59	3.34	1.8030000000000002	6.93	3.36	20070126	315408.0	2.3	63.08	373.03	22.52	15.65	39322.0
601155	新城控股	区域地产	江苏	34.48	7.19	22.57	14881909.0	11512606.0	212237.77	260403.63	1.15	0.9	7.15	5.67	20151204	1146672.88	5.08	42.33	125.59	37.38	11.82	45312.0
601668	中国建筑	建筑施工	北京	8.88	297.32	300.0	152710720.0	116624560.0	3175528.5	2458741.25	0.82	0.83	6.34	1.61	20090729	13155045.0	4.39	15.03	4.1	9.56	3.34	626424.0
601318	中国平安	保险	深圳	15.6	108.33	182.8	616851584.0	0.0	3970000.0	12283600.0	6.72	3.72	24.52	3.08	20070301	22220000.0	12.16	21.4	17.36	0.0	10.0	307286.0
002043	兔 宝 宝	其他建材	浙江	26.52	7.16	8.62	254564.45	171610.95	23015.89	60469.76	0.7	0.31	2.11	5.04	20050510	47799.0	0.55	64.85	46.01	17.16	8.8	72461.0
600332	白云山	中成药	广东	22.7	10.71	16.26	2702510.5	2046363.63	203233.02	987519.88	6.07	0.914	11.3	2.45	20010206	581272.38	3.58	2.72	40.63	37.0	9.3	63704.0
600309	万华化学	化工原料	山东	9.57	27.34	27.34	6275300.0	2369630.25	2687574.5	239298.34	0.88	2.87	8.76	4.16	20010105	1724007.75	6.31	86.14	212.41	39.01	20.05	128600.0
000001	平安银行	银行	深圳	9.43	169.18	171.7	313748096.0	0.0	788300.0	5646500.0	3.29	1.06	11.54	1.22	19910403	7970900.0	4.64	-2.6	2.32	0.0	23.99	331474.0
000002	万 科Ａ	全国地产	深圳	27.99	97.09	110.39	101838200.0	89974888.0	685739.06	905915.63	0.82	1.005	10.54	3.56	19910129	6357034.0	5.76	0.04	34.23	31.73	9.47	208975.0
002304	洋河股份	白酒	江苏	26.27	12.4	15.07	3955368.0	2526792.25	784142.25	74170.4	0.49	3.7039999999999997	18.89	6.87	20091106	2546643.0	16.9	15.08	15.34	62.25	33.07	20791.0
000963	华东医药	化学制药	浙江	27.5	8.68	9.72	1578421.25	1280646.25	177881.3	294972.81	3.03	1.5319999999999998	8.34	6.73	20000127	383186.91	3.94	13.38	24.58	26.16	6.94	22660.0
000825	太钢不锈	特种钢	山西	12.51	56.96	56.96	7014549.0	1663906.75	5069305.0	676386.56	1.19	0.379	4.3	1.47	19981021	993493.19	1.74	25.32	154.35	13.17	4.3	231199.0
002415	海康威视	电器仪表	浙江	44.64	73.72	92.29	4430441.0	3849100.5	292851.56	177044.52	0.19	0.667	2.92	13.6	20100528	1420472.13	1.54	31.14	26.82	44.18	22.19	127510.0
000651	格力电器	家用电器	广东	16.22	59.7	60.16	22072378.0	17467548.0	1727772.0	18340.06	0.03	2.57	9.75	5.7	19961118	4870734.5	8.1	34.51	37.68	31.37	13.94	363550.0
002008	大族激光	电器仪表	深圳	26.08	9.92	10.67	1561020.13	1047977.13	133630.38	79206.18	0.74	1.4080000000000001	6.46	7.58	20040625	421052.91	3.95	78.69	137.31	43.0	16.85	57211.0
000333	美的集团	家用电器	广东	19.35	63.08	65.2	24218328.0	16334994.0	2234857.75	1542556.13	2.37	2.31	10.92	5.43	19931112	4663788.5	7.15	60.64	17.1	25.35	8.02	106209.0
601899	紫金矿业	黄金	福建	39.63	158.04	230.31	9365926.0	2990774.75	3121001.5	1110999.5	0.48	0.096	1.49	3.41	20080425	1890122.75	0.82	8.18	55.44	14.75	3.57	808257.0
002508	老板电器	家用电器	浙江	39.17	9.3	9.49	785402.75	657878.06	82814.74	39765.26	0.42	1.012	5.01	10.54	20101123	297628.31	3.14	25.15	36.95	56.07	19.26	28077.0
300145	中金环境	专用机械	浙江	24.1	7.4	12.02	859160.63	355769.47	92755.06	153938.91	1.28	0.37	3.71	3.2	20101209	159446.09	1.33	46.58	50.9	44.65	17.27	9112.0
000671	阳 光 城	区域地产	福建	48.16	32.46	40.5	19638606.0	18093208.0	73009.93	355074.09	0.88	0.153	3.39	2.9	19961218	523622.81	1.29	108.08	70.25	21.39	3.99	49798.0
603737	三棵树	染料涂料	福建	57.8	0.33	1.02	197130.84	101257.24	38600.2	32144.93	3.15	0.9	10.27	6.61	20160603	55790.43	5.46	40.68	72.19	40.08	5.24	9867.0
601009	南京银行	银行	江苏	8.58	80.7	84.82	114467088.0	0.0	557978.0	1277451.5	1.51	0.8759999999999999	6.63	1.51	20070719	2053001.75	2.42	-11.84	17.02	0.0	40.03	118453.0
601225	陕西煤业	煤炭开采	陕西	9.17	100.0	100.0	10287576.0	2963591.25	2892447.75	738916.13	0.74	0.807	4.24	2.33	20140128	2135405.75	2.14	94.06	686.13	54.23	20.48	65631.0
002078	太阳纸业	造纸	山东	16.21	25.3	25.93	2353648.0	912872.5	1089375.88	120874.42	0.47	0.54	3.61	3.17	20061116	482345.41	1.86	34.36	109.1	24.93	10.03	62117.0
002614	奥佳华	医疗保健	福建	37.94	2.89	5.61	481032.06	349623.22	59403.38	113735.11	2.03	0.38	4.8	3.95	20110909	104489.68	1.86	22.39	41.65	36.88	7.28	21342.0
000910	大亚圣象	家居用品	江苏	26.71	5.29	5.55	595907.19	405052.31	110629.8	28603.24	0.52	0.68	5.78	4.03	19990630	234485.77	4.22	11.73	28.78	35.79	7.52	12454.0
000069	华侨城Ａ	旅游景点	深圳	13.1	61.47	82.04	19735160.0	14785709.0	1398580.38	562206.5	0.69	0.5770000000000001	5.85	1.72	19970910	3156920.5	3.85	1.67	62.18	49.61	24.42	105573.0
002572	索菲亚	家居用品	广东	44.79	6.2	9.23	659502.56	327665.41	185835.27	147992.67	1.6	0.623	4.48	8.3	20110412	157172.13	1.7	43.07	41.05	37.88	13.54	13939.0
600183	生益科技	元器件	广东	20.48	14.57	14.57	1078938.38	653243.63	352075.59	127586.21	0.88	0.56	3.75	4.03	19981028	206038.02	1.41	26.5	61.32	22.06	10.44	55847.0
300296	利亚德	半导体	北京	37.31	9.75	16.29	1172419.38	731140.56	71228.27	159707.06	0.98	0.389	3.07	6.3	20120315	172494.02	1.06	52.34	108.57	38.92	14.78	21472.0
600487	亨通光电	通信设备	江苏	21.25	12.41	13.6	2700911.25	1937311.0	342140.59	349242.75	2.57	1.32	7.47	4.66	20030822	496506.56	3.65	41.4	59.48	21.16	8.78	83208.0
300072	三聚环保	环境保护	北京	25.33	13.76	18.08	2326108.75	1992613.75	178618.97	169794.34	0.94	1.12	4.57	8.16	20100427	472329.25	2.61	66.48	64.13	18.73	11.64	51203.0
002051	中工国际	建筑施工	北京	17.42	11.08	11.13	1682425.75	1349606.88	162333.56	181940.27	1.64	0.767	6.91	2.58	20060619	419017.25	3.77	24.8	19.89	27.59	13.69	37748.0
002365	永安药业	化学制药	湖北	38.0	1.54	1.96	150764.31	79461.99	50448.14	73870.86	3.76	0.614	6.57	4.73	20100305	41303.15	2.1	50.57	138.69	36.08	18.7	17594.0
002594	比亚迪	汽车整车	深圳	44.46	11.38	27.28	16472754.0	9189652.0	4109188.75	2447399.0	8.97	0.96	18.4	3.3	20110630	1835220.25	6.73	1.56	-23.82	19.86	3.78	103330.0
300070	碧水源	环境保护	北京	49.54	19.21	31.34	3633763.25	1268387.38	50617.84	679790.0	2.17	0.23600000000000002	5.19	3.01	20100421	591159.13	1.89	68.67	68.65	25.99	13.71	106866.0
600970	中材国际	建筑施工	江苏	19.2	16.83	17.54	3061731.25	2355729.25	193068.63	103365.9	0.59	0.409	4.27	2.45	20050412	420633.19	2.4	5.2	48.4	17.29	5.4	108137.0
600068	葛洲坝	建筑施工	湖北	12.14	46.05	46.05	17517854.0	11905211.0	1412616.63	771902.5	1.68	0.47	5.25	1.73	19970526	909677.19	1.98	17.34	15.45	12.06	3.48	279640.0
601012	隆基股份	半导体	陕西	24.53	19.76	19.94	2948550.25	1579984.5	1019841.5	541435.13	2.72	1.124	6.1	6.03	20120411	472479.34	2.37	27.23	103.99	34.99	20.66	54104.0
300088	长信科技	元器件	安徽	25.4	22.57	22.99	762726.56	308398.06	224455.3	22479.35	0.1	0.19899999999999998	1.85	3.64	20100526	159479.92	0.69	77.84	98.7	9.22	5.22	69801.0
002310	东方园林	建筑施工	北京	40.47	16.23	26.83	2945561.75	2063992.38	93404.05	177141.97	0.66	0.32	3.73	4.68	20091127	510227.84	1.9	72.29	67.64	29.93	10.03	57451.0
600566	济川药业	中成药	湖北	26.25	8.1	8.1	559471.06	287115.09	153907.88	152669.3	1.89	1.121	4.85	8.09	20010822	183812.73	2.27	20.17	34.18	85.02	21.53	9936.0
601233	桐昆股份	化纤	浙江	22.28	12.05	13.01	2288708.75	655816.13	978688.63	551884.5	4.24	0.93	9.56	2.74	20110518	459372.94	3.53	31.63	104.98	9.75	4.92	28262.0
603808	歌力思	服饰	深圳	26.27	1.13	3.37	324831.41	149185.27	20417.93	107326.65	3.18	0.61	5.82	3.61	20150422	65636.18	1.95	101.91	124.25	69.77	14.66	10985.0
600297	广汇汽车	汽车服务	辽宁	14.96	23.92	81.44	11722450.0	6676599.0	1191154.0	657765.0	0.81	0.4	3.55	2.0	20001116	1145511.5	1.41	25.03	45.1	10.21	2.59	32483.0
002019	亿帆医药	化学制药	浙江	21.07	7.08	12.07	875059.38	391582.0	83491.86	280142.66	2.32	0.79	5.0	4.08	20040713	211943.77	1.76	14.81	63.35	56.55	28.6	54304.0
002643	万润股份	化工原料	山东	22.54	8.19	9.09	451545.0	206356.86	132799.44	206559.73	2.27	0.332	4.39	2.28	20111220	88334.11	0.97	35.67	20.61	40.11	16.81	41461.0
300237	美晨生态	建筑施工	山东	23.41	6.47	8.07	755841.31	560848.38	32126.7	93884.96	1.16	0.455	3.67	3.87	20110629	117041.46	1.45	49.58	51.24	33.27	14.56	12741.0
600466	蓝光发展	区域地产	四川	32.76	8.83	21.34	9323756.0	8361430.5	107743.82	138724.16	0.65	0.22	4.32	2.59	20010212	499685.31	2.34	28.28	161.81	25.15	5.03	65870.0
002573	清新环境	环境保护	北京	21.17	10.69	10.73	1183585.13	574736.88	490355.94	80393.75	0.75	0.575	3.87	4.2	20110422	204205.31	1.9	57.65	23.99	34.16	19.71	77582.0
