股票代码,股票名称,机构名称,变动方向,变动股份数,变动后数量,变动后持股率,公布日期
00007,凯富能源,Triumph Energy Group Limited,增持,43万,83710.31万,30.76%,2018-04-24
00007,凯富能源,许智铭,增持,43万,202219.34万,74.31%,2018-04-24
01803,北京体育文化,林嘉德,减持,-14万,278.55万,0.21%,2018-04-24
08100,智易控股,黄靖淳,增持,960万,6436.20万,14.48%,2018-04-24
06178,光大证券,China Shipbuilding Capital Limited,增持,14万,11972.36万,17.00%,2018-04-23
03883,中国奥园,JOY PACIFIC GROUP LIMITED,增持,100万,144963.26万,54.06%,2018-04-23
03883,中国奥园,Jiang Miner,增持,100万,144963.26万,54.06%,2018-04-23
03883,中国奥园,郭梓文,增持,100万,144963.26万,54.06%,2018-04-23
00007,凯富能源,许智铭,增持,13万,202175.94万,74.29%,2018-04-23
00007,凯富能源,Triumph Energy Group Limited,增持,13万,83666.91万,30.75%,2018-04-23
01803,北京体育文化,林嘉德,减持,-23万,292.30万,0.22%,2018-04-23
00947,摩比发展,陈兆军,增持,20万,421.90万,0.51%,2018-04-23
01369,五洲国际,Boom Win Holdings Limited,减持,-8万,253660.10万,50.83%,2018-04-23
01369,五洲国际,舒策丸,减持,-8万,253660.10万,50.83%,2018-04-23
01369,五洲国际,舒策城,减持,-8万,253660.10万,50.83%,2018-04-23
01373,国际家居零售,刘栢辉,增持,20万,33884.10万,47.13%,2018-04-23
00522,ASM PACIFIC,Commonwealth Bank of Australia,增持,147万,2853.10万,7.02%,2018-04-23
02312,中国金融租赁,Kingston Capital Asia Limited,减持,-8000万,0.00万,0.00%,2018-04-23
02312,中国金融租赁,Galaxy Sky Investments Limited,减持,-8000万,0.00万,0.00%,2018-04-23
02312,中国金融租赁,Kingston Securities Limited,减持,-8000万,0.00万,0.00%,2018-04-23
02312,中国金融租赁,Kingston Financial Group Limited,减持,-8000万,0.00万,0.00%,2018-04-23
02312,中国金融租赁,李月华,减持,-8000万,0.00万,0.00%,2018-04-23
02312,中国金融租赁,Active Dynamic Limited,减持,-8000万,0.00万,0.00%,2018-04-23
01298,天美(控股),香港云能国际投资有限公司,增持,24711万,24711.08万,89.72%,2018-04-23
01298,天美(控股),云南省能源投资集团有限公司,增持,24711万,24711.08万,89.72%,2018-04-23
01298,天美(控股),云南省投资控股集团有限公司,增持,24711万,24711.08万,89.72%,2018-04-23
00058,新威国际,Business Century Investments Limited,增持,1000万,100400.83万,16.09%,2018-04-23
08325,中国支付通,Gayang (HongKong) Co.‚ Limited,增持,1739万,31597.05万,19.22%,2018-04-23
08325,中国支付通,严定贵,增持,1739万,41987.94万,25.54%,2018-04-23
00106,朗诗绿色集团,田明,增持,100万,288564.55万,73.66%,2018-04-23
01813,合景泰富,孔健岷,增持,30万,194995.57万,61.80%,2018-04-23
02688,新奥能源,Commonwealth Bank of Australia,减持,-353万,7243.97万,6.68%,2018-04-23
08103,万泰企业股份,HMV Digital China Group Limited,增持,2万,3793.50万,26.67%,2018-04-23
08103,万泰企业股份,New Smart International Creation Limited,增持,2万,112.00万,0.79%,2018-04-23
08116,中国幸福投资,张程程,增持,23810万,55876.56万,18.43%,2018-04-23
08116,中国幸福投资,New League Limited,增持,23810万,35729.52万,11.79%,2018-04-23
08116,中国幸福投资,Radiant Thrive Enterprises Limited,增持,23810万,55876.56万,18.43%,2018-04-23
08130,智城控股,张子洪,增持,2500万,16600.00万,5.12%,2018-04-23
00653,卓悦控股,陈健文,增持,83万,57659.00万,16.89%,2018-04-23
00801,金卫医疗,Bio Garden Inc.,增持,2万,114773.75万,39.35%,2018-04-23
00801,金卫医疗,甘源,增持,2万,211651.16万,72.56%,2018-04-23
00908,珠海控股投资,珠海九洲控股集团有限公司,增持,9万,58779.20万,41.17%,2018-04-23
00908,珠海控股投资,Longway Services Group Limited,增持,9万,35259.20万,24.69%,2018-04-23
02319,蒙牛乳业,Commonwealth Bank of Australia,减持,-1057万,19464.00万,4.96%,2018-04-23
00280,景福集团,Yeung Chi Shing Estates Limited,增持,709万,55462.45万,60.70%,2018-04-21
03332,中生联合,彭少衍,增持,100万,5477.76万,20.10%,2018-04-20
03332,中生联合,关丽雯,增持,100万,5437.36万,19.95%,2018-04-20
03332,中生联合,Genwealth Group Holding Company Limited,增持,100万,5437.36万,19.95%,2018-04-20
03332,中生联合,Hin Sang Group (International) Holding Co. Ltd.,增持,100万,5437.36万,19.95%,2018-04-20
02722,重庆机电,Templeton Asset Management Ltd.,减持,-183万,7588.53万,6.90%,2018-04-20
